Title,Year,Rated,Released,Genre,Director,Writer,Actors,Language,Metascore,imdbRating,BoxOffice,Runtime
Harry Truman,2021,0,2021-03-01,0,0,0,Richard Pious,English,0.0,0.0,0,0
Azor,2021,0,2021-09-10,"Drama, Thriller",Andreas Fontana,"Andreas Fontana, Mariano Llinás","Fabrizio Rongione, Stéphanie Cléau, Carmen Iriondo","French, Spanish, English",88.0,6.7,52656,100 min
EMA,2021,0,2021-02-27,Music,0,0,"Lea Sirk, Ana Soklic",Slovenian,0.0,0.0,49347,0
Memoria,2021,PG,2021-09-30,"Drama, Sci-Fi",Apichatpong Weerasethakul,Apichatpong Weerasethakul,"Tilda Swinton, Elkin Díaz, Jeanne Balibar","English, Spanish",91.0,6.7,48144,136 min
France,2021,Unrated,2021-12-10,"Comedy, Drama",Bruno Dumont,Bruno Dumont,"Léa Seydoux, Blanche Gardin, Benjamin Biolay","German, English, French",57.0,5.9,44736,133 min
Last Call,2021,R,2021-03-19,Comedy,Paolo Pilladi,"Greg Lingo, Michael Baughan, Billy Reilly","Jeremy Piven, Taryn Manning, Zach McGowan",English,0.0,4.1,39199,102 min
Death Rider in the House of Vampires,2021,Not Rated,2021-08-27,"Horror, Western",Glenn Danzig,Glenn Danzig,"Devon Sawa, Julian Sands, Kim Director",English,0.0,4.4,42068,92 min
The Scary of Sixty-First,2021,Unrated,2021-12-24,"Comedy, Horror, Mystery",Dasha Nekrasova,"Dasha Nekrasova, Madeline Quinn","Madeline Quinn, Betsey Brown, Stephen Gurewitz",English,49.0,5.2,41598,81 min
Old Henry,2021,0,2021-10-01,"Thriller, Western",Potsy Ponciroli,Potsy Ponciroli,"Tim Blake Nelson, Scott Haze, Gavin Lewis","English, Spanish",69.0,7.3,39948,99 min
Senior Moment,2021,0,2021-03-26,"Comedy, Drama, Romance",Giorgio Serafini,"Kurt Brungardt, Christopher Momenee","William Shatner, Jean Smart, Don McManus",English,41.0,6.1,37266,92 min
Luzzu,2021,0,2022-01-05,Drama,Alex Camilleri,Alex Camilleri,"Filip Sertic, Jesmark Scicluna, Frida Cauchi","Maltese, English",79.0,7.0,37000,94 min
"All Light, Everywhere",2021,Unrated,2021-06-04,Documentary,Theo Anthony,0,"Theo Anthony, Keaver Brenai, Robert Cunniff",English,76.0,6.9,33765,105 min
Heart of Champions,2021,PG-13,2021-10-29,"Drama, Sport",Michael Mailer,Vojin Gjaja,"Michael Shannon, Alexander Ludwig, Charles Melton",English,0.0,5.6,0,119 min
Cryptozoo,2021,0,2021-08-20,Animation,Dash Shaw,Dash Shaw,"Lake Bell, Michael Cera, Emily Davis",English,74.0,6.5,0,95 min
Confetti,2021,0,2021-01-04,"Short, Drama",Zander Padget,Zander Padget,"Kiley A. Rothweiler, Katherine Wallach",English,0.0,0.0,32934,0
Bloody Hell: A Rock-Zoo-Mentary,2021,0,2021-07-11,"Short, Comedy",Shane Brady,Shane Brady,"Sean Akyildiz, Jeancarlos Bello, Kimberly Blake",English,0.0,0.0,32124,0
The God Committee,2021,0,2021-07-02,Drama,Austin Stark,"Austin Stark, Mark St. Germain","Kelsey Grammer, Julia Stiles, Colman Domingo",English,48.0,5.8,0,98 min
Yakuza Princess,2021,R,2021-10-07,Thriller,Vicente Amorim,"Danilo Beyruth, Fernando Toste, Kimi Lee","MASUMI, Jonathan Rhys Meyers, Tsuyoshi Ihara","Japanese, English, Portuguese",34.0,4.5,30520,111 min
Monday,2021,0,2021-10-18,"Short, Drama",Paul Hanna,"Nicholas Denton-Cheng, Paul Hanna","Maya T. Weed, Thomas Baker",English,0.0,0.0,29262,4 min
The Beta Test,2021,Unrated,2021-10-15,"Comedy, Horror, Thriller","Jim Cummings, PJ McCabe","Jim Cummings, PJ McCabe","Jim Cummings, Virginia Newcomb, PJ McCabe",English,72.0,6.1,29183,93 min
The Perfect Candidate,2021,0,2021-09-04,Documentary,0,0,0,Tagalog,0.0,0.0,0,0
Trigger Point,2021,Not Rated,2021-04-16,"Action, Mystery, Thriller",Brad Turner,Michael Vickerman,"Barry Pepper, Colm Feore, Eve Harlow",English,0.0,4.9,27744,85 min
Settlers,2021,Not Rated,2021-07-23,"Drama, Sci-Fi, Thriller",Wyatt Rockefeller,Wyatt Rockefeller,"Sofia Boutella, Ismael Cruz Cordova, Brooklynn Prince",English,56.0,4.7,27588,103 min
Prisoners of the Ghostland,2021,0,2021-09-17,"Action, Fantasy, Sci-Fi",Sion Sono,"Aaron Hendry, Reza Sixo Safai","Nicolas Cage, Sofia Boutella, Nick Cassavetes","English, Japanese, Mandarin, French",53.0,4.2,0,103 min
"Ma Belle, My Beauty",2021,0,2021-08-20,"Drama, Romance",Marion Hill,Marion Hill,"Idella Johnson, Hannah Pepper, Lucien Guignard","English, French",65.0,5.5,25386,93 min
Jakob's Wife,2021,Not Rated,2021-04-16,Horror,Travis Stevens,"Mark Steensland, Kathy Charles, Travis Stevens","Barbara Crampton, Larry Fessenden, Bonnie Aarons",English,59.0,5.5,24322,98 min
Our Ladies of Brooklyn,2021,0,,"Comedy, Drama",0,0,"Em Haine, Bella Ortiz, Caitlin Kinnunen",0,0.0,0.0,0,0
The Night,2021,0,2021-09-01,"Documentary, Short",Ming-liang Tsai,Ming-liang Tsai,0,0,0.0,0.0,21515,19 min
John and the Hole,2021,R,2021-08-06,"Drama, Horror, Thriller",Pascual Sisto,Nicolás Giacobone,"Charlie Shotwell, Michael C. Hall, Jennifer Ehle",English,61.0,5.4,20507,103 min
The Novice,2021,R,2021-12-17,"Drama, Thriller",Lauren Hadaway,Lauren Hadaway,"Isabelle Fuhrman, Amy Forsyth, Dilone",English,85.0,6.5,20268,94 min
Gully Rowdy,2021,0,2021-09-17,Comedy,G. Nageswara Reddy,"Bhanu Bhogavarapu, Kona Venkat, Nandu R.K.","Harsha Chemudu, Sundeep Kishan, Vennela Kishore",Telugu,0.0,5.9,17316,143 min
Dating & New York,2021,PG-13,2021-09-30,Comedy,Jonah Feingold,Jonah Feingold,"Eva Victor, Jerry Ferrara, Jaboukie Young-White",English,42.0,5.1,17200,91 min
Writing with Fire,2021,Not Rated,2021-10-20,Documentary,"Sushmit Ghosh, Rintu Thomas",0,"Meera Devi, Shyamkali Devi, Suneeta Prajapati",Hindi,83.0,7.9,16104,92 min
Harper,2021,0,2021-12-14,Drama,Kate Bohan,"Kate Bohan, Jiamin Qiu","Kayla Bohan, Gina Vitori, Carly Sullivan",English,0.0,8.1,15974,104 min
Mystery of the Kingdom of God,2021,0,2021-03-26,"Animation, Family",Adam Smit,"Jenny Chen, Adam Smit",Adam Smit,English,0.0,2.3,15750,91 min
Ascension,2021,0,2021-11-15,Documentary,Jessica Kingdon,0,0,Mandarin,82.0,7.2,15671,97 min
How It Ends,2021,R,2021-07-20,Comedy,"Zoe Lister-Jones, Daryl Wein","Daryl Wein, Zoe Lister-Jones","Zoe Lister-Jones, Cailee Spaeny, Whitney Cummings",English,57.0,5.1,0,82 min
First Date,2021,Not Rated,2021-07-02,"Comedy, Crime, Mystery","Manuel Crosby, Darren Knapp","Manuel Crosby, Darren Knapp","Tyson Brown, Shelby Duclos, Jesse Janzen",English,52.0,5.3,0,103 min
The Laws of the Universe: The Age of Elohim,2021,PG,2021-10-22,Animation,Isamu Imakake,"Ryuho Okawa, Sayaka Okawa","Satomi Arai, Miki Itô, Kane Jungbluth-Murry",Japanese,0.0,0.0,15063,119 min
Even in Dreams,2021,PG,2021-08-06,Family,Savannah Ostler,Savannah Ostler,"Alison Arngrim, Eric Osmond, Adrian R'Mante",English,0.0,8.3,14000,120 min
No Ordinary Man,2021,0,2021-05-01,"Short, Crime","Raheeb Ray Ahmad, Amrith Lal","Raheeb Ray Ahmad, Lucas Eisele","Thaer Al-Shayei, Lisa Gealy, Omar Ragab, Shabana Haroon",English,0.0,0.0,13760,0
Best Sellers,2021,0,2021-09-17,"Comedy, Drama",Lina Roessler,Anthony Grieco,"Michael Caine, Aubrey Plaza, Scott Speedman",English,54.0,6.2,0,102 min
We Broke Up,2021,0,2021-04-23,"Comedy, Drama",Jeff Rosenberg,"Jeff Rosenberg, Laura Jacqmin","Aya Cash, William Jackson Harper, Sarah Bolger",English,53.0,4.9,13589,80 min
American Traitor: The Trial of Axis Sally,2021,R,2021-05-28,Drama,Michael Polish,"William E. Owen, Vance Owen, Darryl Hicks","Meadow Williams, Al Pacino, Carsten Norgaard",English,25.0,5.6,13375,109 min
Secret Agent Dingledorf and His Trusty Dog Splat,2021,PG,2021-07-23,"Comedy, Family",Billy Dickson,Bill Myers,"Zackary Arthur, Paul Johansson, Jason Dolley",English,0.0,5.0,0,89 min
Hive,2021,0,2021-11-26,Drama,Blerta Basholli,Blerta Basholli,"Yllka Gashi, Çun Lajçi, Aurita Agushi",Albanian,71.0,7.3,13028,84 min
We Need to Do Something,2021,Unrated,2021-09-03,"Horror, Mystery",Sean King O'Grady,Max Booth III,"Sierra McCormick, Vinessa Shaw, Pat Healy",English,48.0,4.5,0,97 min
Bring Your Own Brigade,2021,R,2021-08-20,Documentary,Lucy Walker,"Katherine Montgomery, Lucy Walker","Trina Cunningham, Mike Davis, Don Hankins",English,81.0,7.3,12245,119 min
Stray,2021,0,2021-05-13,"Short, Drama",Niall Gavigan,Fhinn McClure,"Jamie Duffy, Bartek Jedras",English,0.0,0.0,0,13 min
Storm Lake,2021,0,2021-06-02,Documentary,"Beth Levison, Jerry Risius",0,"Jill Biden, Pete Buttigieg, Julian Castro",English,0.0,0.0,10450,85 min
Lorelei,2021,0,2021-09-07,"Short, Fantasy, Thriller",Lars Janssen,"Lars Janssen, Charlotte Dawn Potter","Charlotte Dawn Potter, Martin Doran, Jorge Amorim",English,0.0,0.0,0,12 min
The Year of the Everlasting Storm,2021,0,2021-09-09,Mystery,"Anthony Chen, David Lowery, Jafar Panahi","Anthony Chen, David Lowery, Jafar Panahi","Yay Yay Bobby Jones, Catherine Machovsky, Yu Zhang","Persian, Chinese, English, Spanish, Thai",72.0,5.8,0,115 min
"Glam, Sweat & Tears",2021,0,2021-06-07,"Documentary, Music",Jovan Radomir,0,"Tomas Ericsson, Eddie Eriksson, Hans Fogelberg","English, Swedish",0.0,6.7,9176,0
Sabaya,2021,0,2021-07-30,Documentary,Hogir Hirori,Hogir Hirori,0,"Kurdish, Arabic",86.0,7.2,8316,90 min
La Petite fille aux larmes de sel,2021,0,,Short,Alannah Carrot,0,Olivia Devlo,0,0.0,0.0,0,0
All the Streets Are Silent: The Convergence of Hip Hop and Skateboarding (1987-1997),2021,0,2021-07-23,Documentary,Jeremy Elkin,"Dana Brown, Jeremy Elkin","Stretch Armstrong, Peter Bici, Mike Carroll",English,60.0,7.2,0,89 min
Average Joe,2021,Not Rated,2021-01-08,"Action, Comedy",Mark Cantu,Mark Cantu,"Camden Toy, Jason Sedillo, Caitlin Rose Williams",English,0.0,2.6,6887,87 min
The Feast,2021,0,2022-04-29,"Drama, Horror, Mystery",Lee Haven Jones,Roger Williams,"Annes Elwy, Nia Roberts, Julian Lewis Jones",Welsh,68.0,5.4,5824,93 min
El Planeta,2021,0,2021-10-08,Comedy,Amalia Ulman,Amalia Ulman,"Ale Ulman, Amalia Ulman, Nacho Vigalondo",Spanish,76.0,6.5,0,79 min
Final Frequency,2021,0,2021-04-30,"Short, Mystery",Richard Baptiste,Richard Baptiste,"Emma Elliott, James Owens, Jeana Varney",English,0.0,0.0,5497,0
The Boonies,2021,0,2021-04-13,Horror,Lance Parkin,"Lance Parkin, Matt Schultz","Daniel Johnson, James Quinn, Rick Dutrow",English,0.0,2.7,0,97 min
She Professed Herself Pupil of the Wise Man,2021,0,,"Animation, Adventure, Fantasy",0,0,"Brianna Roberts, Ayumu Murase, Hinata Minami",Japanese,0.0,0.0,0,0
Dark State,2021,0,2021-03-19,"Crime, Drama, Mystery",Tracy Lucca,Tracy Lucca,"Nicholas Baroudi, Melissa Connell, Antoni Corone",English,0.0,3.5,4382,93 min
"Here, After",2021,0,2021-05-06,Short,Kate Sakamoto,Kate Sakamoto,"Margaret Brock, Carole Miles, Soli Reid",English,0.0,0.0,0,0
Rock Paper Scissors,2021,0,2021-07-20,Comedy,"Jayme Laforest, Richard Yearwood",Jayme Laforest,"Vahe Sevani, Jeremy Dozier, Kristopher Maz",English,0.0,4.8,3050,95 min
Toutes les deux,2021,0,2021-10-03,"Comedy, Romance",Noël Mitrani,Noël Mitrani,"Veronika Leclerc Strickland, Mélanie Elliott, Vitali Makarov",French,0.0,0.0,0,90 min
Blood Brothers: Malcolm X & Muhammad Ali,2021,PG-13,2021-09-09,"Documentary, Biography, History",Marcus A. Clarke,"Randy Roberts, Johnny Smith","Ilyasah Shabazz, Rahman Ali, Cornel West",English,69.0,6.8,2839,95 min
Mayday,2021,0,2021-10-01,"Drama, Fantasy, Mystery",Karen Cinorre,Karen Cinorre,"Grace Van Patten, Mia Goth, Soko",English,45.0,4.0,3550,100 min
No Place,2021,0,2021-03-12,"Short, Mystery",Eric Maurer,Eric Maurer,0,None,0.0,0.0,2238,7 min
Naked Singularity,2021,R,2021-08-13,"Comedy, Crime, Drama",Chase Palmer,"Chase Palmer, David Matthews, Sergio De La Pava","John Boyega, Olivia Cooke, Bill Skarsgård",English,36.0,4.6,2113,93 min
Project Space 13,2021,0,2021-12-03,Comedy,Michael M. Bilandic,0,"Theodore Bouloukos, Jason Grisell, Keith Poulson",English,0.0,0.0,1616,0
The Village Detective: a song cycle,2021,0,2021-09-05,Documentary,Bill Morrison,Bill Morrison,Mikhail Zharov,"English, Icelandic, Russian",0.0,0.0,1096,81 min
Below the Fold,2021,0,2021-11-23,"Drama, Mystery, Thriller",Clayton Scott,Clayton Scott,"Davis DeRock, Sarah McGuire, Jamie Addison",English,0.0,4.1,462,92 min
A Glitch in the Matrix,2021,Not Rated,2021-02-05,Documentary,Rodney Ascher,Rodney Ascher,"Nick Bostrom, Joshua Cooke, Erik Davis",English,62.0,5.3,880,108 min
Agnes,2021,0,2021-12-10,"Drama, Horror",Mickey Reece,"Mickey Reece, John Selvidge","Molly C. Quinn, Sean Gunn, Chris Sullivan",English,65.0,4.1,0,93 min
Crack House of the Dead,2021,R,2021-06-18,"Action, Horror",Jason Toler,Jason Toler,"Levi Bowling, Steve Crest, Marcus Hanftaler",English,0.0,0.0,0,86 min
Operation Portugal,2021,0,2021-11-02,Comedy,Frank Cimière,0,"D'Jal, Sarah Perles, Pierre Azéma",French,0.0,4.2,0,95 min
Mickey Mouse Funhouse,2021,TV-G,2021-07-16,"Animation, Short, Adventure",0,0,"Bret Iwan, Kaitlyn Robrock, Tony Anselmo",English,0.0,5.8,0,0
Descarrilados,2021,R,2021-08-20,Comedy,Fer García-Ruiz,David Marqués,"Julián López, Ernesto Sevilla, Arturo Valls",Spanish,0.0,0.0,0,98 min
First Signal,2021,0,2021-04-26,"Drama, History, Sci-Fi",Mark Lund,Mark Lund,"Paul Noonan, Conor Timmis, Wendy Hartman",English,0.0,6.8,0,102 min
Scream,2022,R,2022-01-14,"Horror, Mystery, Thriller","Matt Bettinelli-Olpin, Tyler Gillett","James Vanderbilt, Guy Busick, Kevin Williamson","Neve Campbell, Courteney Cox, David Arquette",English,60.0,7.0,74568594,114 min
Uncharted,2022,PG-13,2022-02-18,"Action, Adventure",Ruben Fleischer,"Rafe Judkins, Art Marcum, Matt Holloway","Tom Holland, Mark Wahlberg, Antonio Banderas",English,42.0,6.9,0,116 min
Jackass Forever,2022,R,2022-02-04,"Documentary, Action, Comedy",Jeff Tremaine,"Jason 'Wee Man' Acuña, Eric André, Derrick Beckles","Johnny Knoxville, Steve-O, Chris Pontius",English,74.0,7.6,41543627,96 min
Death on the Nile,2022,PG-13,2022-02-11,"Crime, Drama, Mystery",Kenneth Branagh,"Michael Green, Agatha Christie","Tom Bateman, Annette Bening, Kenneth Branagh",English,53.0,6.7,12800000,127 min
Dog,2022,0,,Thriller,0,0,"Devin Montgomery, Brandon L. Smith",English,0.0,0.0,15153549,0
Moonfall,2022,PG-13,2022-02-04,"Action, Adventure, Sci-Fi",Roland Emmerich,"Roland Emmerich, Harald Kloser, Spenser Cohen","Halle Berry, Patrick Wilson, John Bradley","English, Chinese",41.0,5.3,13122665,130 min
Marry Me,2022,PG-13,2022-02-11,"Comedy, Music, Romance",Kat Coiro,"John Rogers, Tami Sagher, Harper Dill","Jennifer Lopez, Owen Wilson, Maluma",English,50.0,6.2,14427585,112 min
The 355,2022,PG-13,2022-01-07,"Action, Thriller",Simon Kinberg,"Theresa Rebeck, Simon Kinberg","Jessica Chastain, Penélope Cruz, Bingbing Fan","English, Chinese, Spanish, French, German, Arabic",40.0,5.0,4400380,122 min
Redeeming Love,2022,PG-13,2022-01-21,"Drama, History, Romance",D.J. Caruso,"Francine Rivers, D.J. Caruso","Abigail Cowen, Tom Lewis, Famke Janssen",English,32.0,6.9,0,134 min
Blacklight,2022,PG-13,2022-02-11,"Action, Thriller",Mark Williams,"Nick May, Mark Williams, Brandon Reavis","Liam Neeson, Aidan Quinn, Taylor John Smith",English,0.0,0.0,1471504,108 min
The King's Daughter,2022,PG,2022-01-21,"Action, Adventure, Family",Sean McNamara,"Barry Berman, James Schamus, Vonda N. McIntyre","Pierce Brosnan, Kaya Scodelario, William Hurt",English,30.0,5.1,391252,90 min
The Beatles: Get Back - The Rooftop Concert,2022,PG-13,2022-01-30,Music,Peter Jackson,0,"The Beatles, George Harrison, John Lennon",English,0.0,0.0,793669,65 min
The Tiger Rising,2022,PG,2022-02-03,Family,Ray Giarratana,"Kate DiCamillo, Ray Giarratana","Dennis Quaid, Katharine McPhee, Queen Latifah",English,33.0,5.8,0,102 min
Bone Clean,2022,0,,"Short, Drama",Katy Maudlin,Morgan Rose,"Keegan Joyce, Gemma Bird Matheson",English,0.0,0.0,0,0
Sparks - The Ken Sparks Story,2022,0,2022-01-07,Biography,Jeff Joslin,Ciera Danielle,"Chad Sparks, Chanda Childress, Jeff Joslin",English,0.0,0.0,0,88 min
Found Wandering Lost,2022,0,2022-01-25,"Drama, Thriller",Nicholaus James,"Nicholaus James, James Thomas","Eric Bowles, Dylan Brown, Jessi Burkette",0,0.0,5.8,0,99 min
