movie_id,title,movie_rating,release_date,runtime,metascore,imdb_rating
0,Spider-Man: No Way Home,PG-13,12/17/2021,148,71,8.7
1,Shang-Chi and the Legend of the Ten Rings,PG-13,9/3/2021,132,71,7.5
2,Venom: Let There Be Carnage,PG-13,10/1/2021,97,49,6
3,Black Widow,PG-13,7/9/2021,134,67,6.7
4,F9: The Fast Saga,PG-13,6/25/2021,143,58,5.2
5,Eternals,PG-13,11/5/2021,156,52,6.4
6,No Time to Die,PG-13,10/8/2021,163,68,7.3
7,Sing 2,PG,12/22/2021,110,49,7.6
8,Ghostbusters: Afterlife,PG-13,11/19/2021,124,45,7.2
9,Free Guy,PG-13,8/13/2021,115,62,7.2
10,Jungle Cruise,PG-13,7/30/2021,127,50,6.6
11,Dune,PG-13,10/22/2021,155,74,8.1
12,Godzilla vs. Kong,PG-13,3/31/2021,113,59,6.4
13,Encanto,PG,11/24/2021,102,76,7.3
14,Halloween Kills,R,10/15/2021,105,42,5.6
15,Cruella,PG-13,5/28/2021,134,59,7.4
16,Space Jam: A New Legacy,PG,7/15/2021,115,36,4.4
17,The Conjuring: The Devil Made Me Do It,R,6/4/2021,112,53,6.3
18,Candyman,R,8/27/2021,91,72,5.9
19,The Boss Baby: Family Business,PG,7/2/2021,107,39,5.9
20,The Addams Family 2,PG,10/1/2021,93,37,5.4
21,The Suicide Squad,R,8/5/2021,132,72,7.2
22,Raya and the Last Dragon,PG,3/5/2021,107,75,7.3
23,House of Gucci,R,11/24/2021,158,59,6.9
24,Clifford the Big Red Dog,PG,11/10/2021,96,55,6
25,Old,PG-13,7/23/2021,108,55,5.8
26,Tom and Jerry,PG,2/26/2021,101,32,5.3
27,The Forever Purge,R,7/2/2021,103,53,5.4
28,Mortal Kombat,R,4/23/2021,110,44,6.1
29,Peter Rabbit 2: The Runaway,PG,6/11/2021,93,43,6.2
30,PAW Patrol: The Movie,G,8/20/2021,86,50,6.2
31,West Side Story,PG-13,12/10/2021,156,85,7.8
32,The Matrix Resurrections,R,12/22/2021,148,63,5.7
33,The King's Man,R,12/22/2021,131,44,6.4
34,In the Heights,PG-13,6/11/2021,143,84,7.3
35,Nobody,R,3/26/2021,92,64,7.4
36,Wrath of Man,R,5/7/2021,119,57,7.1
37,Escape Room: Tournament of Champions,PG-13,7/16/2021,88,48,5.8
38,Respect,PG-13,8/13/2021,145,61,6.6
39,Spiral,R,5/14/2021,93,40,5.3
40,Ron's Gone Wrong,PG,10/22/2021,107,65,7.1
41,Spirit Untamed,PG,6/4/2021,88,49,5.5
42,The Green Knight,R,7/30/2021,130,85,6.6
43,Resident Evil: Welcome to Raccoon City,R,11/24/2021,107,44,5.2
44,The French Dispatch,R,10/22/2021,107,74,7.3
45,Licorice Pizza,R,12/25/2021,133,90,7.8
46,The Marksman,PG-13,1/15/2021,108,44,5.6
47,The Unholy,PG-13,4/2/2021,99,36,5.1
48,The Little Things,R,1/29/2021,128,54,6.3
49,Dear Evan Hansen,PG-13,9/24/2021,137,39,6.1
50,King Richard,PG-13,11/19/2021,144,76,7.6
51,Stillwater,R,7/30/2021,139,60,6.6
52,Malignant,R,9/10/2021,111,51,6.3
54,Chaos Walking,PG-13,3/5/2021,109,38,5.8
55,Nightmare Alley,R,12/17/2021,150,70,7.4
56,The Last Duel,R,10/15/2021,152,67,7.4
57,Antlers,R,10/29/2021,99,57,5.9
58,Cry Macho,PG-13,9/17/2021,104,58,5.7
59,Last Night in Soho,R,10/29/2021,116,65,7.2
60,Belfast,PG-13,11/12/2021,98,75,7.4
61,The Many Saints of Newark,R,10/1/2021,120,60,6.3
62,The Protégé,R,8/20/2021,109,48,6.1
63,Those Who Wish Me Dead,R,5/14/2021,100,59,6
64,Spencer,R,11/5/2021,117,76,6.8
65,A Journal for Jordan,PG-13,12/25/2021,131,42,5.7
66,Judas and the Black Messiah,R,2/12/2021,126,85,7.5
68,Copshop,R,9/17/2021,107,61,6.2
70,Boogie,R,3/5/2021,90,54,5.2
71,Reminiscence,PG-13,8/20/2021,116,46,5.9
72,12 Mighty Orphans,PG-13,6/18/2021,118,44,6.9
73,Pig,R,7/16/2021,92,82,7
75,Voyagers,PG-13,4/9/2021,108,44,5.4
77,Here Today,PG-13,5/7/2021,117,40,6.7
79,Lamb,R,9/24/2021,106,68,6.3
80,The Card Counter,R,9/10/2021,111,77,6.3
81,Land,PG-13,2/12/2021,89,61,6.7
82,The Eyes of Tammy Faye,PG-13,9/17/2021,126,55,6.7
86,Queen Bees,PG-13,6/11/2021,100,52,6.2
89,Titane,R,10/1/2021,108,75,6.7
90,Together Together,R,4/23/2021,90,70,6.5
92,Wrong Turn,R,2/26/2021,109,46,5.5
93,In the Earth,R,4/16/2021,107,63,5.2
94,Red Rocket,R,12/17/2021,130,75,7.4
96,Long Weekend,R,3/12/2021,91,53,6.1
97,The Jesus Music,PG-13,10/1/2021,109,42,7
100,The Mauritanian,R,3/2/2021,129,53,7.5
101,Blue Bayou,R,9/17/2021,117,58,7.1
105,Werewolves Within,R,7/2/2021,97,66,6
107,National Champions,R,12/10/2021,116,52,5.6
109,The Lost Leonardo,PG-13,8/13/2021,96,79,7.6
111,Willy's Wonderland,TV-MA,2/12/2021,88,44,5.5
114,Benedetta,Unrated,12/3/2021,131,73,6.7
116,Flee,PG-13,6/17/2021,89,90,8.1
118,India Sweets and Spices,PG-13,6/12/2021,101,57,6
119,A Mouthful of Air,R,10/29/2021,105,52,6
126,Together,R,8/27/2021,92,59,6.4
131,Wolf,R,2/18/2022,99,52,6.4
138,Gaia,R,6/18/2021,96,64,5.6
139,Swan Song,R,12/17/2021,112,66,6.8
143,Small Engine Repair,R,9/10/2021,102,57,6.6
146,The Misfits,R,6/11/2021,94,25,4.3
147,The Souvenir: Part II,R,2/4/2022,107,90,7.7
148,Safer at Home,R,2/26/2021,82,35,4.1
161,Lansky,R,6/25/2021,119,45,6.3
162,Kurt Vonnegut: Unstuck in Time,Not Rated,11/11/2021,127,64,8
169,Memoria,PG,9/30/2021,136,91,6.7
170,France,Unrated,12/10/2021,133,57,5.9
173,The Scary of Sixty-First,Unrated,12/24/2021,81,49,5.2
183,Yakuza Princess,R,10/7/2021,111,34,4.5
185,The Beta Test,Unrated,10/15/2021,93,72,6.1
188,Settlers,Not Rated,7/23/2021,103,56,4.7
191,Jakob's Wife,Not Rated,4/16/2021,98,59,5.5
194,John and the Hole,R,8/6/2021,103,61,5.4
195,The Novice,R,12/17/2021,94,85,6.5
197,Dating & New York,PG-13,9/30/2021,91,42,5.1
209,American Traitor: The Trial of Axis Sally,R,5/28/2021,109,25,5.6
213,Bring Your Own Brigade,R,8/20/2021,119,81,7.3
232,Blood Brothers: Malcolm X & Muhammad Ali,PG-13,9/9/2021,95,69,6.8
235,Naked Singularity,R,8/13/2021,93,36,4.6
239,A Glitch in the Matrix,Not Rated,2/5/2021,108,62,5.3
246,Scream,R,1/14/2022,114,60,7
248,Jackass Forever,R,2/4/2022,96,74,7.6
249,Death on the Nile,PG-13,2/11/2022,127,53,6.7
251,Moonfall,PG-13,2/4/2022,130,41,5.3
252,Marry Me,PG-13,2/11/2022,112,50,6.2
253,The 355,PG-13,1/7/2022,122,40,5
256,The King's Daughter,PG,1/21/2022,90,30,5.1
